/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 5579 retained 102 second 202227 endpoints 1 hits [['K0']]
first 5707 retained 103 second 204228 endpoints 1 hits [['K0']]
first 5727 retained 104 second 206229 endpoints 1 hits [['K0']]
first 5747 retained 105 second 208230 endpoints 1 hits [['K0']]
first 5795 retained 106 second 210231 endpoints 1 hits [['K0']]
first 5963 retained 107 second 212232 endpoints 1 hits [['K0']]
first 6019 retained 108 second 214233 endpoints 1 hits [['K0']]
first 6047 retained 109 second 216234 endpoints 1 hits [['K0']]
first 6059 retained 110 second 218235 endpoints 1 hits [['K0']]
first 6095 retained 111 second 220236 endpoints 1 hits [['K0']]
first 6135 retained 112 second 222237 endpoints 1 hits [['K0']]
first 6143 retained 113 second 224238 endpoints 1 hits [['K0']]
first 6147 retained 114 second 226239 endpoints 1 hits [['K0']]
first 6303 retained 115 second 228240 endpoints 1 hits [['K0']]
first 6323 retained 116 second 230241 endpoints 1 hits [['K0']]
first 6335 retained 117 second 232242 endpoints 1 hits [['K0']]
first 6351 retained 118 second 234243 endpoints 1 hits [['K0']]
first 6435 retained 119 second 236244 endpoints 1 hits [['K0']]
first 6511 retained 120 second 238245 endpoints 1 hits [['K0']]
first 6635 retained 121 second 240246 endpoints 1 hits [['K0']]
first 6671 retained 122 second 242247 endpoints 1 hits [['K0']]
first 6679 retained 123 second 244248 endpoints 1 hits [['K0']]
first 6795 retained 124 second 246249 endpoints 1 hits [['K0']]
first 6915 retained 125 second 248250 endpoints 1 hits [['K0']]
first 6927 retained 126 second 250251 endpoints 1 hits [['K0']]
first 6931 retained 127 second 252252 endpoints 1 hits [['K0']]
