198 0 0
17 33 132 138
132 34 133 139
133 35 18 140
16 138 134 141
134 139 135 142
135 140 19 143
15 141 136 32
136 142 137 31
137 143 20 30
41 102 144 150
144 103 145 151
145 104 42 152
40 150 146 153
146 151 147 154
147 152 43 155
39 153 148 107
148 154 149 106
149 155 44 105
105 44 156 162
156 43 157 163
157 42 108 164
106 162 158 165
158 163 159 166
159 164 109 167
107 165 160 47
160 166 161 46
161 167 110 45
101 63 168 174
168 64 169 175
169 65 104 176
100 174 170 177
170 175 171 178
171 176 103 179
99 177 172 62
172 178 173 61
173 179 102 60
113 66 180 186
180 67 181 187
181 68 0 188
112 186 182 189
182 187 183 190
183 188 1 191
111 189 184 71
184 190 185 70
185 191 2 69
26 65 192 198
192 64 193 199
193 63 27 200
25 198 194 201
194 199 195 202
195 200 28 203
24 201 196 66
196 202 197 67
197 203 29 68
14 81 204 210
204 82 205 211
205 83 17 212
13 210 206 213
206 211 207 214
207 212 16 215
12 213 208 86
208 214 209 85
209 215 15 84
8 93 216 222
216 94 217 223
217 95 9 224
7 222 218 225
218 223 219 226
219 224 10 227
6 225 220 98
220 226 221 97
221 227 11 96
96 3 228 234
228 4 229 235
229 5 101 236
97 234 230 237
230 235 231 238
231 236 100 239
98 237 232 6
232 238 233 7
233 239 99 8
27 5 240 246
240 4 241 247
241 3 32 248
28 246 242 249
242 247 243 250
243 248 31 251
29 249 244 119
244 250 245 118
245 251 30 117
69 20 252 258
252 19 253 259
253 18 72 260
70 258 254 261
254 259 255 262
255 260 73 263
71 261 256 23
256 262 257 22
257 263 74 21
108 26 264 270
264 25 265 271
265 24 113 272
109 270 266 273
266 271 267 274
267 272 112 275
110 273 268 21
268 274 269 22
269 275 111 23
77 51 276 282
276 52 277 283
277 53 78 284
76 282 278 285
278 283 279 286
279 284 79 287
75 285 280 50
280 286 281 49
281 287 80 48
59 95 288 294
288 94 289 295
289 93 62 296
58 294 290 297
290 295 291 298
291 296 61 299
57 297 292 92
292 298 293 91
293 299 60 90
45 36 300 306
300 37 301 307
301 38 50 308
46 306 302 309
302 307 303 310
303 308 49 311
47 309 304 39
304 310 305 40
305 311 48 41
51 83 312 318
312 82 313 319
313 81 54 320
52 318 314 321
314 319 315 322
315 320 55 323
53 321 316 78
316 322 317 79
317 323 56 80
72 35 324 330
324 34 325 331
325 33 77 332
73 330 326 333
326 331 327 334
327 332 76 335
74 333 328 36
328 334 329 37
329 335 75 38
89 59 336 342
336 58 337 343
337 57 92 344
88 342 338 345
338 343 339 346
339 344 91 347
87 345 340 54
340 346 341 55
341 347 90 56
84 11 348 354
348 10 349 355
349 9 89 356
85 354 350 357
350 355 351 358
351 356 88 359
86 357 352 12
352 358 353 13
353 359 87 14
125 119 360 366
360 118 361 367
361 117 114 368
124 366 362 369
362 367 363 370
363 368 115 371
123 369 364 114
364 370 365 115
365 371 116 116
131 125 372 378
372 124 373 379
373 123 120 380
130 378 374 381
374 379 375 382
375 380 121 383
129 381 376 120
376 382 377 121
377 383 122 122
0 131 384 390
384 130 385 391
385 129 126 392
1 390 386 393
386 391 387 394
387 392 127 395
2 393 388 126
388 394 389 127
389 395 128 128
121 118 117 120 123 155 154 119 122 65 64 63 66 67 69 78 68 124 125 158 157 153 156 161 79 70 164 71 167 163 162 160 80 159 170 75 76 166 169 77 72 33 30 73 165 168 34 35 74 60 31 32 57 27 61 62 28 58 29 11 10 59 13 14 54 9 137 140 17 16 12 55 136 15 143 56 18 139 142 135 138 141 21 110 24 132 133 134 116 113 19 22 25 129 130 131 115 112 109 108 111 114 128 127 126 26 23 20 152 149 146 151 148 145 0 1 150 147 144 2 92 95 98 105 102 99 45 46 47 81 3 82 6 83 4 5 91 94 97 106 103 100 107 96 104 42 39 101 48 36 51 93 90 7 8 49 50 84 85 86 52 53 87 88 89 43 40 37 38 44 41 188 185 187 184 182 181 186 183 180 171 174 177 173 172 189 192 195 191 190 175 178 176 193 196 194 179 197
