/Users/scottg/Documents/Codex/2026-09-12/hey/work/knot-venv/lib/python3.14/site-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 1510 retained 102 second 202227 endpoints 1 hits [['K0']]
first 1514 retained 103 second 204228 endpoints 1 hits [['K0']]
first 1541 retained 104 second 206229 endpoints 1 hits [['K0']]
first 1550 retained 105 second 208230 endpoints 1 hits [['K0']]
first 1586 retained 106 second 210231 endpoints 1 hits [['K0']]
first 1596 retained 107 second 212232 endpoints 1 hits [['K0']]
first 1631 retained 108 second 214233 endpoints 1 hits [['K0']]
first 1641 retained 109 second 216234 endpoints 1 hits [['K0']]
first 1675 retained 110 second 218235 endpoints 1 hits [['K0']]
first 1678 retained 111 second 220236 endpoints 1 hits [['K0']]
first 1693 retained 112 second 222237 endpoints 1 hits [['K0']]
first 1712 retained 113 second 224238 endpoints 1 hits [['K0']]
first 1713 retained 114 second 226239 endpoints 1 hits [['K0']]
first 1716 retained 115 second 228240 endpoints 1 hits [['K0']]
first 1729 retained 116 second 230241 endpoints 1 hits [['K0']]
first 1733 retained 117 second 232242 endpoints 1 hits [['K0']]
first 1742 retained 118 second 234243 endpoints 1 hits [['K0']]
first 1753 retained 119 second 236244 endpoints 1 hits [['K0']]
first 1762 retained 120 second 238245 endpoints 1 hits [['K0']]
first 1766 retained 121 second 240246 endpoints 1 hits [['K0']]
first 1775 retained 122 second 242247 endpoints 1 hits [['K0']]
first 1783 retained 123 second 244248 endpoints 1 hits [['K0']]
first 1788 retained 124 second 246249 endpoints 1 hits [['K0']]
first 1793 retained 125 second 248250 endpoints 1 hits [['K0']]
first 1804 retained 126 second 250251 endpoints 1 hits [['K0']]
first 1810 retained 127 second 252252 endpoints 1 hits [['K0']]
first 1821 retained 128 second 254253 endpoints 1 hits [['K0']]
first 1835 retained 129 second 256254 endpoints 1 hits [['K0']]
first 1840 retained 130 second 258255 endpoints 1 hits [['K0']]
first 1842 retained 131 second 260256 endpoints 1 hits [['K0']]
first 1856 retained 132 second 262257 endpoints 1 hits [['K0']]
first 1884 retained 133 second 264258 endpoints 1 hits [['K0']]
first 1886 retained 134 second 266259 endpoints 1 hits [['K0']]
first 1890 retained 135 second 268260 endpoints 1 hits [['K0']]
first 1970 retained 136 second 270261 endpoints 1 hits [['K0']]
first 1990 retained 137 second 272262 endpoints 1 hits [['K0']]
first 2004 retained 138 second 274263 endpoints 1 hits [['K0']]
first 2025 retained 139 second 276264 endpoints 1 hits [['K0']]
first 2041 retained 140 second 278265 endpoints 1 hits [['K0']]
first 2050 retained 141 second 280266 endpoints 1 hits [['K0']]
first 2091 retained 142 second 282267 endpoints 1 hits [['K0']]
first 2111 retained 143 second 284268 endpoints 1 hits [['K0']]
first 2120 retained 144 second 286269 endpoints 1 hits [['K0']]
first 2124 retained 145 second 288270 endpoints 1 hits [['K0']]
first 2126 retained 146 second 290271 endpoints 1 hits [['K0']]
first 2129 retained 147 second 292272 endpoints 1 hits [['K0']]
first 2153 retained 148 second 294273 endpoints 1 hits [['K0']]
first 2173 retained 149 second 296274 endpoints 1 hits [['K0']]
first 2175 retained 150 second 298275 endpoints 1 hits [['K0']]
first 2178 retained 151 second 300276 endpoints 1 hits [['K0']]
first 2187 retained 152 second 302277 endpoints 1 hits [['K0']]
first 2190 retained 153 second 304278 endpoints 1 hits [['K0']]
first 2196 retained 154 second 306279 endpoints 1 hits [['K0']]
first 2202 retained 155 second 308280 endpoints 1 hits [['K0']]
first 2204 retained 156 second 310281 endpoints 1 hits [['K0']]
first 2207 retained 157 second 311098 endpoints 1 hits [['K0']]
