22 0 0
5 11 6 10
13 34 14 35
35 14 36 15
33 21 34 20
37 22 0 23
8 21 9 22
4 27 5 28
2 31 3 32
32 1 33 2
9 1 10 39
23 6 24 7
36 8 37 7
25 17 26 16
19 31 20 30
15 12 16 13
17 27 18 26
24 11 25 12
29 19 30 18
28 3 29 4
41 39 38 38
43 41 40 40
0 43 42 42
20 19 21 4 5 9 11 10 0 16 2 14 1 3 8 7 13 12 15 17 6 18
