/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 50 retained 1 second 2001 endpoints 0 hits []
first 98 retained 2 second 4002 endpoints 0 hits []
first 114 retained 3 second 6003 endpoints 0 hits []
first 242 retained 4 second 8004 endpoints 0 hits []
first 286 retained 5 second 8177 endpoints 1 hits [['K0']]
first 306 retained 6 second 10178 endpoints 1 hits [['K0']]
first 326 retained 7 second 12179 endpoints 1 hits [['K0']]
first 342 retained 8 second 14130 endpoints 1 hits [['K0']]
first 362 retained 9 second 16131 endpoints 1 hits [['K0']]
first 374 retained 10 second 18132 endpoints 1 hits [['K0']]
first 394 retained 11 second 20133 endpoints 1 hits [['K0']]
first 442 retained 12 second 22134 endpoints 1 hits [['K0']]
first 466 retained 13 second 24135 endpoints 1 hits [['K0']]
first 522 retained 14 second 26136 endpoints 1 hits [['K0']]
first 546 retained 15 second 28137 endpoints 1 hits [['K0']]
first 554 retained 16 second 30138 endpoints 1 hits [['K0']]
first 630 retained 17 second 32139 endpoints 1 hits [['K0']]
first 730 retained 18 second 34140 endpoints 1 hits [['K0']]
first 742 retained 19 second 36141 endpoints 1 hits [['K0']]
first 754 retained 20 second 38142 endpoints 1 hits [['K0']]
first 934 retained 21 second 40143 endpoints 1 hits [['K0']]
first 970 retained 22 second 42144 endpoints 1 hits [['K0']]
first 1094 retained 23 second 44145 endpoints 1 hits [['K0']]
first 1234 retained 24 second 46146 endpoints 1 hits [['K0']]
first 1334 retained 25 second 48147 endpoints 1 hits [['K0']]
first 1342 retained 26 second 50148 endpoints 1 hits [['K0']]
first 1378 retained 27 second 52149 endpoints 1 hits [['K0']]
first 1382 retained 28 second 54150 endpoints 1 hits [['K0']]
first 1422 retained 29 second 56151 endpoints 1 hits [['K0']]
first 1454 retained 30 second 58152 endpoints 1 hits [['K0']]
first 1486 retained 31 second 60153 endpoints 1 hits [['K0']]
first 1490 retained 32 second 62154 endpoints 1 hits [['K0']]
first 1510 retained 33 second 64155 endpoints 1 hits [['K0']]
first 1514 retained 34 second 66156 endpoints 1 hits [['K0']]
first 1550 retained 35 second 68157 endpoints 1 hits [['K0']]
first 1586 retained 36 second 70158 endpoints 1 hits [['K0']]
first 1678 retained 37 second 72159 endpoints 1 hits [['K0']]
first 1742 retained 38 second 74160 endpoints 1 hits [['K0']]
first 1762 retained 39 second 76161 endpoints 1 hits [['K0']]
first 1766 retained 40 second 78162 endpoints 1 hits [['K0']]
