/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 1810 retained 41 second 80163 endpoints 1 hits [['K0']]
first 1842 retained 42 second 82164 endpoints 1 hits [['K0']]
first 1886 retained 43 second 84165 endpoints 1 hits [['K0']]
first 1890 retained 44 second 86166 endpoints 1 hits [['K0']]
first 1970 retained 45 second 88167 endpoints 1 hits [['K0']]
first 1990 retained 46 second 90168 endpoints 1 hits [['K0']]
first 2050 retained 47 second 92169 endpoints 1 hits [['K0']]
first 2126 retained 48 second 94170 endpoints 1 hits [['K0']]
first 2178 retained 49 second 96171 endpoints 1 hits [['K0']]
first 2190 retained 50 second 98172 endpoints 1 hits [['K0']]
first 2202 retained 51 second 100173 endpoints 1 hits [['K0']]
first 2270 retained 52 second 102174 endpoints 1 hits [['K0']]
first 2382 retained 53 second 104175 endpoints 1 hits [['K0']]
first 2498 retained 54 second 106176 endpoints 1 hits [['K0']]
first 2558 retained 55 second 108177 endpoints 1 hits [['K0']]
first 2570 retained 56 second 110178 endpoints 1 hits [['K0']]
first 2638 retained 57 second 112179 endpoints 1 hits [['K0']]
first 2686 retained 58 second 114180 endpoints 1 hits [['K0']]
first 2794 retained 59 second 116181 endpoints 1 hits [['K0']]
first 2822 retained 60 second 118182 endpoints 1 hits [['K0']]
first 2886 retained 61 second 120183 endpoints 1 hits [['K0']]
first 2914 retained 62 second 122184 endpoints 1 hits [['K0']]
first 3026 retained 63 second 124185 endpoints 1 hits [['K0']]
first 3186 retained 64 second 126186 endpoints 1 hits [['K0']]
first 3198 retained 65 second 128187 endpoints 1 hits [['K0']]
first 3218 retained 66 second 130188 endpoints 1 hits [['K0']]
first 3226 retained 67 second 132189 endpoints 1 hits [['K0']]
first 3250 retained 68 second 134190 endpoints 1 hits [['K0']]
first 3450 retained 69 second 136191 endpoints 1 hits [['K0']]
first 3474 retained 70 second 138192 endpoints 1 hits [['K0']]
first 3502 retained 71 second 140193 endpoints 1 hits [['K0']]
first 3534 retained 72 second 142194 endpoints 1 hits [['K0']]
first 3566 retained 73 second 144195 endpoints 1 hits [['K0']]
first 3578 retained 74 second 146196 endpoints 1 hits [['K0']]
first 3690 retained 75 second 148197 endpoints 1 hits [['K0']]
first 3806 retained 76 second 150198 endpoints 1 hits [['K0']]
first 3822 retained 77 second 152199 endpoints 1 hits [['K0']]
first 3834 retained 78 second 154200 endpoints 1 hits [['K0']]
first 3942 retained 79 second 156201 endpoints 1 hits [['K0']]
first 4010 retained 80 second 158202 endpoints 1 hits [['K0']]
first 4030 retained 81 second 160203 endpoints 1 hits [['K0']]
first 4038 retained 82 second 162204 endpoints 1 hits [['K0']]
first 4294 retained 83 second 164205 endpoints 1 hits [['K0']]
first 4342 retained 84 second 166206 endpoints 1 hits [['K0']]
first 4390 retained 85 second 168207 endpoints 1 hits [['K0']]
first 4414 retained 86 second 170208 endpoints 1 hits [['K0']]
first 4562 retained 87 second 172209 endpoints 1 hits [['K0']]
first 4970 retained 88 second 174210 endpoints 1 hits [['K0']]
first 5218 retained 89 second 176211 endpoints 1 hits [['K0']]
first 5266 retained 90 second 178212 endpoints 1 hits [['K0']]
first 5282 retained 91 second 180213 endpoints 1 hits [['K0']]
first 5334 retained 92 second 182214 endpoints 1 hits [['K0']]
first 5870 retained 93 second 184215 endpoints 1 hits [['K0']]
first 6030 retained 94 second 186216 endpoints 1 hits [['K0']]
first 6086 retained 95 second 188217 endpoints 1 hits [['K0']]
first 6122 retained 96 second 190218 endpoints 1 hits [['K0']]
first 6294 retained 97 second 192219 endpoints 1 hits [['K0']]
first 6378 retained 98 second 194220 endpoints 1 hits [['K0']]
first 6494 retained 99 second 196221 endpoints 1 hits [['K0']]
first 6670 retained 100 second 198222 endpoints 1 hits [['K0']]
first 7034 retained 101 second 200223 endpoints 1 hits [['K0']]
