24 0 0
17 22 24 26
24 23 18 27
16 26 25 1
25 27 19 0
0 8 28 30
28 9 2 31
1 30 29 7
29 31 3 6
13 4 32 34
32 5 14 35
12 34 33 2
33 35 15 3
4 17 36 38
36 16 7 39
5 38 37 14
37 39 6 15
8 19 40 42
40 18 10 43
9 42 41 21
41 43 11 20
20 11 44 46
44 10 23 47
21 46 45 12
45 47 22 13
14 9 15 11 7 12 13 6 2 8 10 0 5 4 23 22 3 18 16 1 17 21 19 20
